repo,url,title,description,target-audience,desired-impact,domain,ai-use-stage,tool-ecosystem,tool-framework,tool-deploy,filter,type,color,image
agent-invest,https://github.com/primenumbersam/agent-invest,Agent team for Investor,"투자토론 부서. Multi-Agent System: Google ADK, Tauric Research TradingAgents (Multi-Agents LLM Financial Trading Framework)",투자관련 뉴스 속보 수집 및 분석 비용 최소화,LLM 종량제 (API-based) 사용,investment,production,python,docker containered Hermes Agent Framework,local server,ai,square,#1D3557,
agent-db,https://wiki.gitsam.com,Agent team for Teacher,"자료생성 부서. RAG, Multi-Role Single LLM system (Antigravity에서 agents.md 및 skills.md를 사용하여 자율 개발자 파이프라인 빌드)",기술분야 강의 자료 생산비용 최소화,LLM 구독제 (Oauth-based) 사용,commerce,production,python,Google ADK,local server,ai,square,#1D3557,
app-invest,https://invest.gitsam.com,Mini Invest,"개인용 블대리, Investment RaaS Server: Portfolio Visualizer, Quantecon library, OpenBB Platform, KIS API, Modular FastAPI, API-based LLM connection",개인용 블대리가 필요한 금융시장 투자자,무겁고 비싼 Bloomberg terminal을 대체하는 가볍고 무료인 개인용 블대리,investment,production,python,"reflex, polars, parquet",local server,python,circle,#FFB703,
app-lms,https://lms.gitsam.com,Mini LMS,개인용 강의팔이 시스템,가볍고 관리가 쉬운 강의팔이 시스템이 필요한 1인 강사,로컬에서 만든 자료를 배포용 cloudflare와 sync 하는 LMS,commerce,production,js,"hono, 포트원 PG",cloudflare,web,circle,#1D3557,screenshot/screen-lms.jpg
blog-obsidian-quartz,https://obsidian.gitsam.com,Obsidian LLM Wiki,반자동 투자공부. RAG: web clipping wikipedia (국장미장 네트워크),LLM Wiki. obsidian (local)에서 글 정리하고 quartz ssg로 구워서 github pages에 배포하고 싶은 작가,obsidian clipper + graph view + LLM CLI + AI Harness Engineering 적극 활용,investment,production,js,"obsidian md, quartz ssg",github pages,web,triangle,#FFB703,
blog-astro-notion,https://notion.gitsam.com,Notion LLM Blog,"반자동 기술공부. RAG: web clipping geeknews, via crawl4ai (지원정보, 쇼핑(신제품,할인)정보), Hermes agent framework to notion db",notion (cloud)에서 글 정리하고 astro ssg로 구워서 cloudflare pages에 배포하고 싶은 작가,SEO 되는 무료 notion publish 시스템,technology,development,js,"notion db, astro ssg",cloudflare,web,triangle,#FFB703,screenshot/screen-blog-astro-notion.jpg
blog-youtube,https://primenumbersam.blogspot.com/,Briefer-Daily Youtube,유튜브뉴스 분석록,유튜브 영상시청하기 귀찮은 사람들,내가 관심있는 채널내 신규 업로드 영상들을 내 성향에 맞게 매일 요약하는 블로그 ,investment,production,google,google apps script,google blogger,ai,triangle,#1D3557,screenshot/screen-blogger.jpg
blog-vercel-nextjs,https://primenumbersam.vercel.app/,Dashboard-Crypto,"코인시장 현황판, 코린이를 위한 지표, 김프, 뉴스",광고와 산만함이 싫은 코린이,암호화폐 관련된 빠른 정보 모음,investment,development,js,nextjs,vercel,web,triangle,#E63946,screenshot/screen-kimp.jpg
lab-superstar-vix,https://primenumbersam-vix.streamlit.app/,Dashboard-Superstar VIX,Volatility Index of Superstar Stocks in KR and US Market,주식시장 전문투자자,초양극화 경제구조에 맞는 historical VIX,investment,development,python,"streamlit, sqlite",streamlit community cloud,python,square,#E63946,screenshot/screen-superstar-vix.jpg
lab-streamlit,https://primenumbersam-lab.streamlit.app/,Monolithic Streamlit,streamlit framework (Python Frontend) 실습,경제 통계와 현실의 괴리를 느끼는 사람들,경제 지표 분석 및 시각화,investment,development,python,streamlit,streamlit community cloud,python,square,#E63946,screenshot/screen-streamlit-start.jpg
lab-openbb,https://github.com/primenumbersam/lab-openbb,Modular FastAPI Widget,FastAPI framework (Python backend) 실습,OpenBB Workspace 맞춤형 백엔드 위젯이 필요한 금융시장 투자자 및 분석가,Pre-built widgets for financial data,investment,development,python,"fastapi, uvicorn, openbb",local server,python,square,#E63946,screenshot/screen-openbb.jpg
lab-netlify-eleventy,https://github.com/primenumbersam/lab-eleventy,Docs SSG,https://eleventy-libdoc.netlify.app/ 따라하기,Tree Structure 방식으로 link 된 md 파일을 구워서 배포하기,로컬 md 파일 배포용 eleventy ssg 실습,technology,development,js,eleventy ssg,netlify,web,triangle,#FFB703,screenshot/screen-netlify-eleventy.jpg
lab-pdf-bookcase,https://gitsam.com/lab-pdf-bookcase,3D PDF Bookcase,온라인 flip pdf 3D 책장,pdf 형식 전자책 출판 작가,pdf 형식 전자책 모음 사이트 무료 구축,commerce,development,python,open source,github pages,python,square,#FFB703,screenshot/screen-pdf-bookcase.jpg
lab-ecommerce,https://gitsam.com/lab-ecommerce,E-commerce Marketing,브랜드상품 홍보콘텐츠 반자동생산 결과물모음집,내 브랜드 LAROE,상품홍보물 생산 반자동화를 통한 마케팅 효율성 극대화,commerce,production,css,vanilla web,github pages,web,triangle,#FFB703,screenshot/screen-ecommerce.jpg
gdrive-appsheet,https://www.appsheet.com/home/apps,Barcode Inventory,브랜드 제품 재고 관리 시스템 (유통 표준 바코드 GTIN-13 기반),소규모 브랜드 물류 관리자,수기 입력 오류 최소화,commerce,development,google,"google Sheets, AppSheet",google AppSheet,ai,triangle,#1D3557,screenshot/screen-brand-appsheet.jpg
gdrive-sites,https://sites.gitsam.com,Google Tool UseCase,소비자용 구글도구 실습모음집,구글 생태계 활용 생산성 극대화 희망자,소비자용 구글 도구들을 연결한 생산성 극대화,technology,production,google,google apps,google sties,ai,triangle,#1D3557,screenshot/screen-google.jpg
